market_name,market_slug,market_url,market_listed_count,facility_name,operator,street_address,locality,detail_url
Gothenburg,gothenburg,https://www.datacentermap.com/sweden/gothenburg/,11,GlobalConnect Göteborg Tagene,GlobalConnect,Tagenevägen 34C,425 37 Hisings Kärra,https://www.datacentermap.com/sweden/gothenburg/ip-only-goteborg/
Gothenburg,gothenburg,https://www.datacentermap.com/sweden/gothenburg/,11,Hostek Kungälv,Hostek.se,Truckgatan 13,442 40 Kungälv,https://www.datacentermap.com/sweden/gothenburg/hostek-kungalv/
Malmö,malmo,https://www.datacentermap.com/sweden/malmo/,5,Microsoft Staffanstorp,Microsoft,Västanvägen 86,245 42 Staffanstorp,https://www.datacentermap.com/sweden/malmo/microsoft-staffanstorp/
Malmö,malmo,https://www.datacentermap.com/sweden/malmo/,5,31173 Services DC Malmö Scheelegatan,31173 Services AB,Scheelegatan 9,212 28 Malmö,https://www.datacentermap.com/sweden/malmo/31173-services-dc-malmo-scheelegatan/
Malmö,malmo,https://www.datacentermap.com/sweden/malmo/,5,Bahnof - Sparven,Bahnhof,Storgatan 15B,211 42 Malmö,https://www.datacentermap.com/sweden/malmo/bahnhof-sparven/
Malmö,malmo,https://www.datacentermap.com/sweden/malmo/,5,Marinen Datacenter,Bredband2,Terminalgatan 18,21124 Malmo,https://www.datacentermap.com/sweden/malmo/marinen/
Malmö,malmo,https://www.datacentermap.com/sweden/malmo/,5,GlobalConnect Malmö,GlobalConnect,Krossverksgatan 15,216 16 Limhamn,https://www.datacentermap.com/sweden/malmo/ip-only-malmo/
Pitea,pitea,https://www.datacentermap.com/sweden/pitea/,2,EcoDataCenter Piteå,EcoDataCenter,Träskåsvägen 229,943 36 Piteå,https://www.datacentermap.com/sweden/pitea/ecodatacenter-arctic/
Pitea,pitea,https://www.datacentermap.com/sweden/pitea/,2,Kolo SE3 Piteå,Kolo,Mejselvägen 15,941 22 Piteå,https://www.datacentermap.com/sweden/pitea/fortlax/
Lund,lund,https://www.datacentermap.com/sweden/lund/,2,Swoscom Data Center,Swoscom AB,"Ideon Science Park, Scheelevägen 27",223 70 Lund,https://www.datacentermap.com/sweden/lund/swoscom/
Lund,lund,https://www.datacentermap.com/sweden/lund/,2,31173 Services DC Lund Mobilvägen,31173 Services AB,Mobilvägen 10,223 62 Lund,https://www.datacentermap.com/sweden/lund/31173-services-dc-lund-mobilvagen/
Västerås,vasteras,https://www.datacentermap.com/sweden/vasteras/,2,QuickNet Broadband Data Center,QuickNet AB,Munkgatan 7,722 12 Västerås,https://www.datacentermap.com/sweden/vasteras/quicknet-broadband-data-center/
Västerås,vasteras,https://www.datacentermap.com/sweden/vasteras/,2,Amazon AWS ARN - Västerås,Amazon AWS,Kvastbruksgatan 8,722 31 Västerås,https://www.datacentermap.com/sweden/vasteras/amazon-aws-arn-vasteras/
Karlshamn,karlshamn,https://www.datacentermap.com/sweden/karlshamn/,2,Ansluten Karlshamn,Ansluten Hosting i Sverige AB,Strömmavägen 28,374 32 Karlshamn,https://www.datacentermap.com/sweden/karlshamn/ansluten-karlshamn/
Karlshamn,karlshamn,https://www.datacentermap.com/sweden/karlshamn/,2,Hostek Karlskrona,Hostek.se,Ronnebygatan 36,371 33 Karlskrona,https://www.datacentermap.com/sweden/karlshamn/hostek-karlskrona/
Eskilstuna,eskilstuna,https://www.datacentermap.com/sweden/eskilstuna/,2,Amazon AWS ARN - Eskilstuna,Amazon AWS,Propellervägen 19,635 06 Eskilstuna,https://www.datacentermap.com/sweden/eskilstuna/amazon-aws-arn-eskilstuna/
Eskilstuna,eskilstuna,https://www.datacentermap.com/sweden/eskilstuna/,2,ScandiDC I,Scandinavian Data Centers AB (SDC),Ärnaberget,633 47 Eskilstuna,https://www.datacentermap.com/sweden/eskilstuna/scandidc-i/
Norrköping,norrkoping,https://www.datacentermap.com/sweden/norrkoping/,1,EdgeMode Marviken,EdgeMode,Marvikens Kraftverk,610 27 Vikbolandet,https://www.datacentermap.com/sweden/norrkoping/edgemode-marviken/
Skellefteå,skelleftea,https://www.datacentermap.com/sweden/skelleftea/,1,EdgeConneX Skellefteå,EdgeConneX,within,Lyten's battery plant in Skellefteå 931 36 Bergsbyn,https://www.datacentermap.com/sweden/skelleftea/edgeconnex-skelleftea/
Falkenberg,falkenberg,https://www.datacentermap.com/sweden/falkenberg/,1,Glesys Falkenberg,Glesys,Kanslistvägen 12,31139 Falkenberg,https://www.datacentermap.com/sweden/falkenberg/glesys-fbgdc/
Ljungaverk,ljungaverk,https://www.datacentermap.com/sweden/ljungaverk/,1,DC-LJU-SE-CYGRIDS,Cygrids Communications AB,Folketshusvägen 10,84198 Ljungaverk,https://www.datacentermap.com/sweden/ljungaverk/dc01-cygrids/
Vaxjo,vaxjo,https://www.datacentermap.com/sweden/vaxjo/,1,Ansluten Växjö,Ansluten Hosting i Sverige AB,Honnörsgatan 10,352 36 Växjö,https://www.datacentermap.com/sweden/vaxjo/ansluten-vaxjo/
Tallberg,tallberg,https://www.datacentermap.com/sweden/tallberg/,1,Inleed TAL01,Inleed,Ovabacksgattu 10,79370 Tällberg,https://www.datacentermap.com/sweden/tallberg/inleed-tal01/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Sandviken Campus,Microsoft,Järbovägen 103,811 42 Sandviken,https://www.datacentermap.com/sweden/gavle/microsoft-sandviken-campus/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Gävle Campus,Microsoft,Bakvretsgatan,805 91 Gävle,https://www.datacentermap.com/sweden/gavle/microsoft-gavle/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Gävle (GVX04),Microsoft,Bakvretsgatan,805 91 Gävle,https://www.datacentermap.com/sweden/gavle/microsoft-gavle-gvx04/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Gävle (GVX03),Microsoft,Bakvretsgatan,805 91 Gävle,https://www.datacentermap.com/sweden/gavle/microsoft-gavle-gvx03/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Sandviken (GVX14),Microsoft,Järbovägen 103,811 42 Sandviken,https://www.datacentermap.com/sweden/gavle/microsoft-sandviken-gvx14/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Sandviken (GVX13),Microsoft,Järbovägen 103,811 42 Sandviken,https://www.datacentermap.com/sweden/gavle/microsoft-sandviken-gvx13/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Valbo (GVX21),Microsoft,Farfarsvägen 1,818 91 Valbo,https://www.datacentermap.com/sweden/gavle/microsoft-valbo-gvx21/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Valbo Campus,Microsoft,Farfarsvägen 1,818 91 Valbo,https://www.datacentermap.com/sweden/gavle/microsoft-valbo-campus/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Valbo (GVX24),Microsoft,Farfarsvägen 1,818 91 Valbo,https://www.datacentermap.com/sweden/gavle/microsoft-valbo-gvx24/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Valbo (GVX22),Microsoft,Farfarsvägen 1,818 91 Valbo,https://www.datacentermap.com/sweden/gavle/microsoft-valbo-gvx22/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Valbo (GVX25),Microsoft,Farfarsvägen 1,818 91 Valbo,https://www.datacentermap.com/sweden/gavle/microsoft-valbo-gvx25/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Valbo (GVX23),Microsoft,Farfarsvägen 1,818 91 Valbo,https://www.datacentermap.com/sweden/gavle/microsoft-valbo-gvx23/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Gävle (GVX02),Microsoft,Bakvretsgatan,805 91 Gävle,https://www.datacentermap.com/sweden/gavle/microsoft-gavle-gvx02/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Sandviken (GVX11),Microsoft,Järbovägen 103,811 42 Sandviken,https://www.datacentermap.com/sweden/gavle/microsoft-sandviken-gvx11/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Gävle (GVX01),Microsoft,Bakvretsgatan,805 91 Gävle,https://www.datacentermap.com/sweden/gavle/microsoft-gavle-gvx01/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Gävle (GVX05),Microsoft,Bakvretsgatan,805 91 Gävle,https://www.datacentermap.com/sweden/gavle/microsoft-gavle-gvx05/
Gavle,gavle,https://www.datacentermap.com/sweden/gavle/,14,Microsoft Sandviken (GVX12),Microsoft,Järbovägen 103,811 42 Sandviken,https://www.datacentermap.com/sweden/gavle/microsoft-sandviken-gvx12/
Jonkoping,jonkoping,https://www.datacentermap.com/sweden/jonkoping/,1,Junet Datacenter,Junet AB,Birkagatan 41,56133 Huskvarna,https://www.datacentermap.com/sweden/jonkoping/junet-birka/
Eslov,eslov,https://www.datacentermap.com/sweden/eslov/,1,DC-ESL-SE-CYGRIDS,Cygrids Communications AB,Grävmaskinsvägen 2,241 38 Eslöv,https://www.datacentermap.com/sweden/eslov/dc01-esl-se-cygrids/
Lulea,lulea,https://www.datacentermap.com/sweden/lulea/,1,Meta Lulea Data Center,Meta,Datavägen 15,977 54 Luleå,https://www.datacentermap.com/sweden/lulea/meta-lulea-data-center/
Hudiksvall,hudiksvall,https://www.datacentermap.com/sweden/hudiksvall/,1,Internetport Hudiksvall,Internetport Sweden AB,Sjötullsgatan 16,824 55 Hudiksvall,https://www.datacentermap.com/sweden/hudiksvall/internetport-hudiksvall/
Boras,boras,https://www.datacentermap.com/sweden/boras/,1,Nätkraft Borås Data Center,Nätkraft Borås,Bockasjögatan 17,504 30 Boras,https://www.datacentermap.com/sweden/boras/berget-boras/
Katrineholm,katrineholm,https://www.datacentermap.com/sweden/katrineholm/,1,Amazon AWS ARN - Katrineholm,Amazon AWS,Terminalgatan 4,641 33 Katrineholm,https://www.datacentermap.com/sweden/katrineholm/amazon-aws-arn-katrineholm/
Linkoping,linkoping,https://www.datacentermap.com/sweden/linkoping/,1,GlobalConnect Linköping,GlobalConnect,Datalinjen 5C,58330 Linköping,https://www.datacentermap.com/sweden/linkoping/phonera-datacenter-linkoping/
Lycksele,lycksele,https://www.datacentermap.com/sweden/lycksele/,1,Nordlo Lycksele,Nordlo,Norra Torggatan 12,921 31 Lycksele,https://www.datacentermap.com/sweden/lycksele/nordlo-lycksele/
Vallentuna,vallentuna,https://www.datacentermap.com/sweden/vallentuna/,1,Binero STO1,Binero Group AB,Karlbergsvägen 110,186 42 Vallentuna,https://www.datacentermap.com/sweden/vallentuna/binero-sto1/
Jokkmokk,jokkmokk,https://www.datacentermap.com/sweden/jokkmokk/,1,ETIX Jokkmokk #1,Etix Everywhere,within,1 km from village centre 98260 Porjus,https://www.datacentermap.com/sweden/jokkmokk/etix-jokkmokk-1/
